S.No.,Idioms,Hindi Meaning,English Meaning,
897.,To stand on his feet,vius iSjksa is [kM+k gksuk,To be independent,
898.,To take to heart,izHkkfor gksuk] fny ls ysuk,To be very upset by sth that sb says or does,
899.,To call it a day,dke can dj nsuk] la;kl ysuk,To decided or agree to stop doing sth to retire,
900.,To strain every nerve,"[kwu ilhuk ,d djuk",To try hard to get something,
901.,To die in harness,dk;Zdky ds nkSjku ejuk,To die while in service,
902.,Soft option,vklku mik;,A choice which is thought to be easier because it involves less efforts,
903.,To lose ground,iwN de gksuk,To lose an advantage for yourself,
904.,to make one’s blood boil,fdlh dks cgqr xqLlk fnykuk,to make sb extremely angry,
905.,To speak to one’s mind,fopkj O;Dr djuk] ;k jk; tkfgj djuk,"To say exactly what one thinks;
in a very direct way",
906.,Wear and tear,VwV&QwV,To damage to objects,
907.,To give currency,lkoZtfud :i ls Kkr djuk,To spread a story around,
908.,Go a long way,lgk;d gksuk,To last a long time; covers a large area,
909.,Run down,vkykspuk djuk,To criticized somebody,
913.,To have gone down the drain,cckZn gksuk,To be wasted; to get very much worse,
914.,Doctored the account,csbZekuh djuk,To muniplate the account,
915.,Measure up,cjkcj gksuk,"To be as good, successful as expected or needed; match up",
916.,Steal the show,n’kZdksa dk fny thruk,To attract more attention and praise,
917.,On good terms,vǔNs laca/k gksuk,To have a good friendly relationship,
918.,Sit in judgement,fu.kZ; ysuk,"To decide whether somebody’s behaviour is right/wrong especially when you have no
right to do this",
919.,Close the book on,dke can djuk,"To     stop     doing     something because  you  no  longer  believe you  will  be  successful  or  will
find a solution",
923.,To bring to light,"Li""V djuk",To make new information known to all,
925.,To look down one’s nose,rqǔN le>uk,To regard with contempt,
929.,Too fond of her own voice,viuh rkjhQ [kqn djuk,To talk a lot or too much without wanting to listen to other people,
930.,Take exception,vkifRr djuk,To object strongly,
931.,Call for,dh ek¡x djuk,To ask,
932.,Take cue from,ls izsj.kk ysuk,"To copy what somebody else does as to how to behave or
what to do",
933.,Heart to heart talk,"Li""V vkSj bZekunkjh ls ckr djuk",Speak honestly and frankly,
934.,Put across,j[kuk] fopkj djuk,"To communicate your ideas, feelings etc. Successfully",
935.,See eye to eye,lger gksuk,To agree,
937.,Drop like flies,e`R;w gksuk] efD[k;ksa dh rjg ekjuk,To fall down in large number,
938.,Spread like wild fire,taxy dh vkx dh rjg QSyuk,To be come know by more and more very quickly,
939.,Out of the question,fopkj ls ckgj,Impossible or not allowed and therefore not worth discussing,
944.,Fall flat,vlQy gksuk,Fail to amuse people or to have effect that was intended,
945.,Carry weight,egRoiw.kZ gksuk,Important in; influence/strength,
947.,Get on well,nksLrkuk fj’rk gksuk,Have a friendly relationship,
948.,Slip off,fcuk crk;s pys tkuk,To leave quietly,
949.,Ride the high horse,vius vki dks nwljksa ls csgrj le>uk,To feel yourself better than others,
953.,The salt of the earth,cgqr gh bZekunkjh,Very good and honest; kind,
954.,Cut your caot according to your cloth,ftruh pknj gks mrus iSj ilkjuk,Do only what you have enough money to do and no more,
955.,Lays out,O;; djuk,To spend money fork out,
956.,As hard as a nail,funZ;h,"To show no sympathy;
kindness or fear",
957.,See through,LokHkko tkuuk,To realize the truth about sb/sth,
958.,To have a bee in your bonnet,,"To think or talk all time about
sth as it is not normal; an obsession",
960.,Out of this world,"mRd`""V",Emphasise how good/beautiful sth is,
961.,Spick and span,lkQ&lqFkjk,Neat and clean,
962.,Changed colour,psgjs ij gokb;k¡ mM+kuk,To turn pale,
963.,Wide off the mark,;FkkZFk ls ijs,"Not accurate, inadequate",
964.,Take your hat off,fdlh dh izla’kk dk vkHkkj O;Dr djuk,"To admire sb very  much for
sth he/she has done",
965.,Stick to your guns,viuh ckr ij vM+s jguk,Hold on to your decision,
966.,Null and void,vekU;] v’kDr,"Not valid, having no legal force",
967.,Out of my wits,vDy ij iRFkj iM+uk,To be extremely confused and frightened,
968.,For good,"lnk ds fy,",Permanently,
969.,Feel blue,mnkl gksuk,Depressed,
970.,Time and again,vusd ckj,"Often, on many or all occasions",
971.,Iron fist,dBksj fu;a=.k,Treat people in a severly manner,
973.,Cool his heels,fdlh O;fDr ;k oLrw dh jkg ns[kuk,To have to wait for sb/sth,
974.,Wet his whistle,ihuk (’kjkc),To moisten ones throat; to have a drink,
975.,Rack and ruin,iw.kZr% rckg ;k cckZn djuk,To get into a bad condition,
976.,Thick and thin,lq[k nq[k esa,Inspite of troubles or difficulties,
977.,Back to square one,tgk¡ ds rgk¡,To return to the situation where you were without making no progress,
978.,A closed book,"vifjfpr fc""k; ;k balku",The subject or person that you,
979.,A month of Sundays,cgqr fnuksa ls,Used for emphasizing that sth will never happe; a long time,
980.,Let sleep dog life,x<+s eqnsZ u m[kkM+uk,To avoid mentioning a subject or sth,
981.,Feel one’s pulse,fdlh ds fopkj dks tkuuk,To feel what one is thinking on some point,
982.,Rule the roost,eqf[k;k gksuk ;k ’kklu djuk,To be the most powerful member of a group,
983.,Throw dust into my eyes,/kks[kk nsuk,To mislead or to deceive,
984.,Off and on,vk;s fnu] dHkh dHkkj,"From time to time, now and again",
985.,Give and take,ysu&nsu],To accept and give up in a relationship,
990.,alma matter,ekr`laLFkk,"the school, college or university that somebody went to",
991.,go dutch,lk>k djuk,to share the cost of sth with sb,
992.,close fisted,datwl,not willing to spend much money,
993.,high and dry,fu%lgk;,in a difficult situation without money or help,
994.,make a beeline,Hkkxe&Hkkx,"to go straight towards sth as
quickly you can; rush",
